date,scrap_type,title,original_title,score,annee,public,genre,saison,time,pays,langue,description
2022-12-14 19:26:02.740005,serie,Mr. Bean,Mr. Bean,8.6,1990–1995,Tous publics,Comedy, 1,25,United Kingdom,English,"Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems."
2022-12-14 19:25:59.726059,serie,Poirot,Poirot,8.6,1989–2013,14+,Crime,13,100,United Kingdom,English,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot."
2022-12-14 19:26:12.494674,serie,Blackadder the Third,Blackadder the Third,8.6,1987,Tous publics,Comedy, 1,3,United Kingdom,,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time."
2022-12-14 19:26:06.527692,serie,Dragon Ball,Dragon Ball: Doragon bôru,8.6,1986–1989,14+,Animation, 1,24,Japan,Japanese,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
2022-12-14 19:25:31.300815,serie,"Yes, Prime Minister","Yes, Prime Minister",8.6,1986–1987,Tous publics,Comedy, 2,30,United Kingdom,,James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.
2022-12-14 19:26:26.620335,serie,Blackadder II,Blackadder II,8.6,1986,Tous publics,Comedy, 1,176,United Kingdom,,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her."
2022-12-14 19:25:56.645046,serie,The Bugs Bunny Show,The Bugs Bunny Show,8.6,1960–1975,Tous publics,Animation, 3,30,United States,,TV series featuring the classic Looney Tunes animated shorts.
2022-12-14 19:24:57.913843,serie,House of the Dragon,House of the Dragon,8.5,2022– ,16+,Action, 1,0,United States,,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
2022-12-14 19:24:39.820973,serie,Derry Girls,Derry Girls,8.5,2018–2022,16+,Comedy, 3,30,United Kingdom,English,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
2022-12-14 19:25:01.558298,serie,Cobra Kai,Cobra Kai,8.5,2018– ,14+,Action, 5,30,United States,English,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
2022-12-14 19:24:43.451103,serie,Big Little Lies,Big Little Lies,8.5,2017–2019,16+,Crime, 2,1,United States,,"The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach ..., "
2022-12-14 19:24:30.946289,serie,The Defiant Ones,The Defiant Ones,8.5,2017,16+,Documentary, 1,1,United States,English,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain ..., "
2022-12-14 19:25:06.301184,serie,Twin Peaks,Twin Peaks,8.5,2017,16+,Crime, 1,1,United States,English,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
2022-12-14 19:25:18.079434,serie,Westworld,Westworld,8.5,2016–2022,16+,Drama, 4,62,United States,English,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
2022-12-14 19:24:46.618905,serie,The Night Of,The Night Of,8.5,2016,16+,Crime, 1,525,United States,English,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder."
2022-12-14 19:24:51.980520,serie,The Expanse,The Expanse,8.5,2015–2022,14+,Drama, 6,1,United States,,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
2022-12-14 19:25:00.485647,serie,Schitt's Creek,Schitt's Creek,8.5,2015–2020,14+,Comedy, 6,22,Canada,English,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They..., "
2022-12-14 19:24:48.550026,serie,Chef's Table,Chef's Table,8.5,2015–2019,16+,Documentary, 6,50,United States,English,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents a..., "
2022-12-14 19:25:02.394281,serie,Silicon Valley,Silicon Valley,8.5,2014–2019,16+,Comedy, 6,28,United States,English,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
2022-12-14 19:24:48.851531,serie,The Knick,The Knick,8.5,2014–2015,16+,Drama, 2,58,United States,,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.
2022-12-14 19:25:01.528935,serie,Hannibal,Hannibal,8.5,2013–2015,16+,Crime, 3,44,United States,English,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
2022-12-14 19:25:04.464513,serie,Spartacus: Gods of the Arena,Spartacus: Gods of the Arena,8.5,2011,16+,Action, 1,331,United States,English,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household."
2022-12-14 19:25:31.554777,serie,Louie,Louie,8.5,2010–2015,16+,Comedy, 5,22,United States,,"The life of Louie C.K., a divorced comedian living in New York with two kids."
2022-12-14 19:25:21.434222,serie,Spartacus,Spartacus: Blood and Sand,8.5,2010–2013,16+,Action, 3,55,United States,English,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and ..., "
2022-12-14 19:24:50.286651,serie,Regular Show,Regular Show,8.5,2009–2017,Tous publics,Animation, 8,23,United States,English,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.
2022-12-14 19:24:52.665436,serie,Community,Community,8.5,2009–2015,14+,Comedy, 6,22,United States,English,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
2022-12-14 19:24:42.685297,serie,Southland,Southland,8.5,2009–2013,16+,Crime, 5,42,United States,English,The lives of Police Officers working for the Los Angeles Police Department.
2022-12-14 19:24:32.921003,serie,John Adams,John Adams,8.5,2008,14+,Biography, 1,71,United States,English,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years."
2022-12-14 19:24:46.893296,serie,Generation Kill,Generation Kill,8.5,2008,16+,Drama, 1,70,United States,English,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003."
2022-12-14 19:25:28.816720,serie,The IT Crowd,The IT Crowd,8.5,2006–2013,14+,Comedy, 5,25,United Kingdom,English,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
2022-12-14 19:24:46.922465,serie,The Angry Video Game Nerd,The Angry Video Game Nerd,8.5,2004– ,16+,Comedy,16,35,United States,English,A foul-mouthed nerd reviews bad video games.
2022-12-14 19:25:15.200534,serie,Fullmetal Alchemist,Hagane no renkinjutsushi,8.5,2003–2004,Tous publics,Animation, 1,24,Japan,Japanese,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st..., "
2022-12-14 19:25:34.942983,serie,Battlestar Galactica,Battlestar Galactica,8.5,2003,14+,Action, 1,183,United States,English,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for..., "
2022-12-14 19:25:22.889849,serie,Samurai Jack,Samurai Jack,8.5,2001–2017,16+,Animation, 5,25,United States,,"A samurai, sent through time, fights to return home and save the world."
2022-12-14 19:25:22.409128,serie,The Office,The Office,8.5,2001–2003,16+,Comedy, 3,30,United Kingdom,English,"The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily liv..., "
2022-12-14 19:24:39.939376,serie,Black Books,Black Books,8.5,2000–2004,Tous publics,Comedy, 3,25,United Kingdom,English,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many ..., "
2022-12-14 19:25:00.215494,serie,Futurama,Futurama,8.5,1999–2023,14+,Animation,10,22,United States,English,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
2022-12-14 19:25:21.925998,serie,Whose Line Is It Anyway?,Whose Line Is It Anyway?,8.5,1998–2007,Tous publics,Comedy, 8,30,United States,,"Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audien..., "
2022-12-14 19:25:10.550865,serie,Neon Genesis Evangelion,Shin seiki evangerion,8.5,1995–1996,16+,Animation, 1,24,Japan,,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
2022-12-14 19:24:31.326814,serie,X-Men: The Animated Series,X-Men,8.5,1992–1997,7+,Animation, 5,23,United States,English,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
2022-12-14 19:24:51.573791,serie,Alfred Hitchcock Presents,Alfred Hitchcock Presents,8.5,1955–1962,14+,Comedy, 7,25,United States,,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime c..., "
