date,scrap_type,title,original_title,score,annee,public,genre,saison,time,pays,langue,description
2022-12-14 19:26:13.307974,serie,Gomorrah,Gomorra: La serie,8.7,2014–2021,16+,Crime, 5,55,Italy,Italian,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
2022-12-14 19:26:13.477522,serie,Haikyu!!,Haikyuu!!,8.7,2014–2020,14+,Animation, 4,24,Japan,Japanese,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club."
2022-12-14 19:26:52.282002,serie,House of Cards,House of Cards,8.7,2013–2018,16+,Drama, 6,51,United States,English,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
2022-12-14 19:26:44.574737,serie,Line of Duty,Line of Duty,8.7,2012–2021,14+,Crime, 6,1,United Kingdom,,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
2022-12-14 19:26:17.905027,serie,Young Justice,Young Justice,8.7,2010–2022,Tous publics,Animation, 4,23,United States,English,Teenage superheroes strive to prove themselves as members of the Justice League.
2022-12-14 19:27:05.478899,serie,Downton Abbey,Downton Abbey,8.7,2010–2015,Tous publics,Drama, 6,58,United Kingdom,English,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
2022-12-14 19:25:20.922153,serie,Ezel,Ezel,8.7,2009–2011,14+,Crime, 2,90,Turkey,Turkish,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance."
2022-12-14 19:26:36.532092,serie,Naruto: Shippuden,Naruto: Shippûden,8.7,2007–2017,Tous publics,Animation,21,24,Japan,Japanese,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of..., "
2022-12-14 19:27:02.316191,serie,Mad Men,Mad Men,8.7,2007–2015,16+,Drama, 7,47,United States,English,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
2022-12-14 19:26:36.978289,serie,Dexter,Dexter,8.7,2006–2013,16+,Crime, 8,53,United States,English,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in th..., "
2022-12-14 19:26:50.551764,serie,Friday Night Lights,Friday Night Lights,8.7,2006–2011,14+,Drama, 5,44,United States,English,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor."
2022-12-14 19:26:30.916688,serie,Code Geass,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,8.7,2006–2008,14+,Animation,on,24,Japan,Japanese,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire."
2022-12-14 19:24:30.634737,serie,Gintama,Gintama,8.7,2005–2021,14+,Animation,on,25,Japan,Japanese,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can."
2022-12-14 19:26:48.700751,serie,The Thick of It,The Thick of It,8.7,2005–2012,16+,Comedy, 4,29,United Kingdom,English,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.
2022-12-14 19:27:22.064629,serie,Rome,Rome,8.7,2005–2007,16+,Action, 2,52,United Kingdom,,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
2022-12-14 19:27:08.022002,serie,House,House M.D.,8.7,2004–2012,14+,Drama, 8,44,United States,English,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
2022-12-14 19:27:09.865704,serie,Battlestar Galactica,Battlestar Galactica,8.7,2004–2009,14+,Action, 4,44,United States,English,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fab..., "
2022-12-14 19:26:47.968676,serie,Justice League Unlimited,Justice League Unlimited,8.7,2004–2006,7+,Animation, 3,23,United States,,"A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics univers..., "
2022-12-14 19:26:29.459147,serie,Monster,Monster,8.7,2004–2005,14+,Animation, 1,24,Japan,Japanese,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.
2022-12-14 19:27:14.527488,serie,Arrested Development,Arrested Development,8.7,2003–2019,14+,Comedy, 5,22,United States,,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
