title,original_title,score,annee,public,genre,time,pays,langue,description
Planet Earth,Planet Earth,9.4/10,2006,Tous publics,Documentary,"TV Mini Series,8,h, ,58,m",United Kingdom,English,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition."
Band of Brothers,Band of Brothers,9.4/10,2001,16+,Drama,"TV Mini Series,9,h, ,54,m",United States,English,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
Planet Earth II,Planet Earth II,9.5/10,2016,Tous publics,Documentary,"TV Mini Series,4,h, ,58,m",United Kingdom,English,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.
Chernobyl,Chernobyl,9.4/10,2019,16+,Drama,"TV Mini Series,5,h, ,30,m",United States,English,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
Breaking Bad,Breaking Bad,9.5/10,2008–2013,16+,Crime,"TV Series,49,m",United States,English,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
